id,ndex,name,type1,type2,ability1,ability2,spec_ability,hp,attack,defense,spattack,spdefense,speed,weight,height,dex1,dex2,class,pre-evolution,egg-group1,egg-group2
410,410,Shieldon,Rock,Steel,Shed Skin,,Overcoat,30,42,118,42,88,30,125.7,20,"Many fossils of this Pokemon have been found, but almost none have shown signs of damage to the face.","This Pokemon lived in primeval jungles. Few enemies would have been willing to square off against its heavily armored face, so it's thought.",Shield Pokemon,,Monster,
411,411,Bastiodon,Rock,Steel,Shed Skin,,Overcoat,60,52,168,47,138,30,329.6,51,"While it can guard against any sort of attack from the front, it is left without recourse when attacked from behind.",It lived in the same environments as Rampardos. Their fossils have been found together— seemingly from after they'd fought to the finish.,Shield Pokemon,Shieldon,Monster,
412,412,Burmy,Bug,,Shed Skin,,Overcoat,40,29,45,29,45,36,7.5,8,,,Bagworm Pokemon,,Bug,
413,413,Wormadam,Bug,Grass,Anticipation,,Overcoat,60,59,85,79,105,36,14.3,20,,,Bagworm Pokemon,Burmy,Bug,
414,414,Mothim,Bug,Flying,Swarm,,Tinted Lens,70,94,50,94,50,66,51.4,35,,,Moth Pokemon,Burmy,Bug,
415,415,Combee,Bug,Flying,Honey Gather,,Hustle,30,30,42,30,42,70,12.1,12,,,Tiny Bee Pokemon,,Bug,
416,416,Vespiquen,Bug,Flying,Pressure,,Unnerve,70,80,102,80,102,40,84.9,47,,,Beehive Pokemon,Combee,Bug,
417,417,Pachirisu,Electric,,Run Away,Pickup,Volt Absorb,60,45,70,45,90,95,8.6,16,,,EleSquirrel Pokemon,,Field,Fairy
418,418,Buizel,Water,,Swift Swim,,Water Veil,55,65,35,60,30,85,65,28,,,Sea Weasel Pokemon,,Water 1,Field
419,419,Floatzel,Water,,Swift Swim,,Water Veil,85,105,55,85,50,115,73.9,43,,,Sea Weasel Pokemon,Buizel,Water 1,Field
420,420,Cherubi,Grass,,Chlorophyll,,,45,35,45,62,53,35,7.3,16,,,Cherry Pokemon,,Fairy,Grass
421,421,Cherrim,Grass,,Flower Gift,,,70,60,70,87,78,85,20.5,20,,,Blossom Pokemon,Cherubi,Fairy,Grass
422,422,Shellos,Water,,Sticky Hold,Storm Drain,Sand Force,76,48,48,57,62,34,13.9,12,"For the most part, it makes its home along the seashore. Its color and form differ according to its habitat and the quality of its food.","Purple mucus sticks to the hands of anyone who touches it. Take care, as the substance is troublesome to wash off.",Sea Slug Pokemon,,Water 1,Amorphous
423,423,Gastrodon,Water,Ground,Sticky Hold,Storm Drain,Sand Force,111,83,68,92,82,39,65.9,35,"It has strong regenerative capabilities. Even if parts of it are bitten off by fish Pokemon, it will return to normal within a few hours.","Plankton, invisible to the naked eye, is its main food source. It comes onto the land periodically, but the reason for this is not known.",Sea Slug Pokemon,Shellos,Water 1,Amorphous
424,424,Ambipom,Normal,,Technician,Pickup,Skill Link,75,100,66,60,66,115,44.8,47,,,Long Tail Pokemon,Aipom,Field,
425,425,Drifloon,Ghost,Flying,Aftermath,Unburden,Flare Boost,90,50,34,60,44,70,2.6,16,Stories go that it grabs the hands of small children and drags them away to the afterlife. It dislikes heavy children.,"If for some reason its body bursts, its soul spills out with a screaming sound.",Balloon Pokemon,,Amorphous,
426,426,Drifblim,Ghost,Flying,Aftermath,Unburden,Flare Boost,150,80,44,90,54,80,33.1,47,"There was once an incident in which a man took a trip riding a Drifblim, only to go missing.","Even while under careful observation, large flocks of Drifblim flying at dusk will inexplicably disappear from view.",Blimp Pokemon,Drifloon,Amorphous,
427,427,Buneary,Normal,,Run Away,Klutz,Limber,55,66,44,44,56,85,12.1,16,,,Rabbit Pokemon,,Field,Human-Like
428,428,Lopunny,Normal,,Cute Charm,Klutz,Limber,65,76,84,54,96,105,73.4,47,,,Rabbit Pokemon,Buneary,Field,Human-Like
429,429,Mismagius,Ghost,,Levitate,,,60,60,60,105,105,105,9.7,35,"It appears as if from nowhere—muttering incantations, placing curses, and giving people terrifying visions.","Mismagius have been known to cast spells to make people fall in love, so some people search for this Pokemon as if their life depended on it.",Magical Pokemon,Misdreavus,Amorphous,
430,430,Honchkrow,Dark,Flying,Insomnia,Super Luck,Moxie,100,125,52,105,52,71,60.2,35,"A single cry from this nocturnal Pokemon, and more than a hundred of its Murkrow cronies will assemble.","If its Murkrow cronies fail to catch food for it, or if it feels they have betrayed it, it will hunt them down wherever they are and punish them.",Big Boss Pokemon,Murkrow,Flying,
431,431,Glameow,Normal,,Limber,Own Tempo,Keen Eye,49,55,42,42,37,85,8.6,20,,,Catty Pokemon,,Field,
432,432,Purugly,Normal,,Thick Fat,Own Tempo,Defiant,71,82,64,64,59,112,96.6,39,,,Tiger Cat Pokemon,Glameow,Field,
433,433,Chingling,Psychic,,Levitate,,,45,30,50,65,50,45,1.3,8,,,Bell Pokemon,,Undiscovered,
434,434,Stunky,Poison,Dark,Stench,Aftermath,Keen Eye,63,63,47,41,41,74,42.3,16,,,Skunk Pokemon,,Field,
435,435,Skuntank,Poison,Dark,Stench,Aftermath,Keen Eye,103,93,67,71,61,84,83.8,39,,,Skunk Pokemon,Stunky,Field,
436,436,Bronzor,Steel,Psychic,Levitate,Heatproof,Heavy Metal,57,24,86,24,86,23,133.4,20,,,Bronze Pokemon,,Mineral,
437,437,Bronzong,Steel,Psychic,Levitate,Heatproof,Heavy Metal,67,89,116,79,116,33,412.3,51,,,Bronze Bell Pokemon,Bronzor,Mineral,
438,438,Bonsly,Rock,,Sturdy,Rock Head,Rattled,50,80,95,10,45,10,33.1,20,"It does not deal well with water, so it lives in dry locales. Since its surroundings tend to lack greenery, it stands out noticeably.","From its eyes, it can expel excess moisture from its body. This liquid is similar in composition to human sweat.",Bonsai Pokemon,,Undiscovered,
439,439,Mime Jr.,Psychic,Fairy,Soundproof,Filter,Technician,20,25,45,70,90,60,28.7,24,,,Mime Pokemon,,Undiscovered,
440,440,Happiny,Normal,,Natural Cure,Serene Grace,Friend Guard,100,5,5,15,65,30,53.8,24,"It carries a round white rock in its belly pouch. If it gets along well with someone, it will sometimes give that person the rock.","It's too small to lay eggs yet. As a surrogate, it searches out round white stones.",Playhouse Pokemon,,Undiscovered,
441,441,Chatot,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,76,65,45,92,42,91,4.2,20,,,Music Note Pokemon,,Flying,
442,442,Spiritomb,Ghost,,Pressure,,Infiltrator,50,92,108,92,108,35,238.1,39,,,Forbidden Pokemon,,Amorphous,
443,443,Gible,Dragon,Ground,Sand Veil,,Rough Skin,58,70,45,40,45,42,45.2,28,"It lives in caves warmed by geothermal heat. Even so, when the weather gets cold, it will huddle close with others of its kind.","It skulks in caves, and when prey or an enemy passes by, it leaps out and chomps them. The force of its attack sometimes chips its teeth.",Land Shark Pokemon,,Monster,Dragon
444,444,Gabite,Dragon,Ground,Sand Veil,,Rough Skin,68,90,65,50,55,82,123.5,55,"In rare cases, it molts and sheds its scales. Medicine containing its scales as an ingredient will make a weary body feel invigorated.","Shiny objects are its passion. It can be found in its cave, scarcely moving, its gaze fixed on the jewels it's amassed or Carbink it has caught.",Cave Pokemon,Gible,Monster,Dragon
445,445,Garchomp,Dragon,Ground,Sand Veil,,Rough Skin,108,130,95,80,85,102,209.4,75,It can fly at speeds rivaling jet planes. It dives into flocks of bird Pokemon and gulps the entire flock down whole.,The protuberances on its head serve as sensors. It can even detect distant prey.,Mach Pokemon,Gabite,Monster,Dragon
446,446,Munchlax,Normal,,Pickup,Thick Fat,Gluttony,135,85,40,40,85,5,231.5,24,"It needs to consume its own weight in food every day. As far as flavor is concerned, it's indifferent.","When it finds something that looks like it might be edible, it goes right ahead and swallows it whole. That's why it gets fatter day by day.",Big Eater Pokemon,,Undiscovered,
447,447,Riolu,Fighting,,Steadfast,Inner Focus,Prankster,40,70,40,35,40,60,44.5,28,"It can discern the physical and emotional states of people, Pokemon, and other natural things from the shape of their aura waves.","It's tough enough to run right through the night, and it's also a hard worker, but it's still just a youngster.",Emanation Pokemon,,Undiscovered,
448,448,Lucario,Fighting,Steel,Steadfast,Inner Focus,Justified,70,110,70,115,70,90,119,47,"Not only does it perceive auras, but it has also gained the power to control them. It employs them in battle.",They can detect the species of a living being— and its emotions—from over half a mile away. They control auras and hunt their prey in packs.,Aura Pokemon,Riolu,Field,Human-Like
449,449,Hippopotas,Ground,,Sand Stream,,Sand Force,68,72,78,38,42,32,109.1,31,,,Hippo Pokemon,,Field,
450,450,Hippowdon,Ground,,Sand Stream,,Sand Force,108,112,118,68,72,47,661.4,79,,,Heavyweight Pokemon,Hippopotas,Field,
451,451,Skorupi,Poison,Bug,Battle Armor,Sniper,Keen Eye,40,50,90,30,55,65,26.5,31,,,Scorpion Pokemon,,Bug,Water 3
452,452,Drapion,Poison,Dark,Battle Armor,Sniper,Keen Eye,70,90,110,60,75,95,135.6,51,,,Ogre Scorpion Pokemon,Skorupi,Bug,Water 3
453,453,Croagunk,Poison,Fighting,Anticipation,Dry Skin,Poison Touch,48,61,40,61,40,50,50.7,28,,,Toxic Mouth Pokemon,,Human-Like,
454,454,Toxicroak,Poison,Fighting,Anticipation,Dry Skin,Poison Touch,83,106,65,86,65,85,97.9,51,,,Toxic Mouth Pokemon,Croagunk,Human-Like,
455,455,Carnivine,Grass,,Levitate,,,74,100,72,90,72,46,59.5,55,,,Bug Catcher Pokemon,,Grass,
456,456,Finneon,Water,,Swift Swim,Storm Drain,Water Veil,49,49,56,49,61,66,15.4,16,"It absorbs sunlight with the pink areas of its skin, which then shine. This appears to be a form of camouflage.","Its double tail fins propel its energetic jumps. When it breaks the surface of the sea, Wingull swoop down to grab it on the fly.",Wing Fish Pokemon,,Water 2,
457,457,Lumineon,Water,,Swift Swim,Storm Drain,Water Veil,69,69,76,69,86,91,52.9,47,"With its shining light, it lures its prey close. However, the light also happens to attract ferocious fish Pokemon—its natural predators.",This deep-sea Pokemon lives at the bottom of the sea. Its fins haul it over the seabed in search of its favorite food—Starmie.,Neon Pokemon,Finneon,Water 2,
458,458,Mantyke,Water,Flying,Swift Swim,Water Absorb,Water Veil,45,20,50,60,120,50,143.3,39,,,Kite Pokemon,,Undiscovered,
459,459,Snover,Grass,Ice,Snow Warning,,Soundproof,60,62,50,62,60,40,111.3,39,,,Frost Tree Pokemon,,Monster,Grass
460,460,Abomasnow,Grass,Ice,Snow Warning,,Soundproof,90,92,75,92,85,60,298.7,87,,,Frost Tree Pokemon,Snover,Monster,Grass
461,461,Weavile,Dark,Ice,Pressure,,Pickpocket,70,120,65,45,85,125,75,43,"They travel in groups of four or five, leaving signs for one another on trees and rocks. They bring down their prey with coordinated attacks.","They dwell in cold places. This Pokemon's main food source in Alola is Vulpix and Sandshrew, which they carefully divide among their group.",Sharp Claw Pokemon,Sneasel,Field,
462,462,Magnezone,Electric,Steel,Magnet Pull,Sturdy,Analytic,70,70,115,130,90,60,396.8,47,Three units generate magnetism. There have been many mistaken reports of UFO sightings when Magnezone flies through the night sky.,"As it zooms through the sky, this Pokemon seems to be receiving signals of unknown origin, while transmitting signals of unknown purpose.",Magnet Area Pokemon,Magneton,Mineral,
463,463,Lickilicky,Normal,,Own Tempo,Oblivious,Cloud Nine,110,85,95,80,95,50,308.6,67,,,Licking Pokemon,Lickitung,Monster,
464,464,Rhyperior,Ground,Rock,Lightning Rod,Solid Rock,Reckless,115,140,130,55,55,40,623.5,94,,,Drill Pokemon,Rhydon,Monster,Field
465,465,Tangrowth,Grass,,Chlorophyll,Leaf Guard,Regenerator,100,100,125,110,50,50,283.5,79,,,Vine Pokemon,Tangela,Grass,
466,466,Electivire,Electric,,Motor Drive,,Vital Spirit,75,123,67,95,85,95,305.6,71,It pushes the tips of its tails against its foes and then lets loose a high-voltage current. Its foes are burned to a crisp in an instant.,"When it gets excited, it thumps its chest. With every thud, thunder roars and electric sparks shower all around.",Thunderbolt Pokemon,Electabuzz,Human-Like,
467,467,Magmortar,Fire,,Flame Body,,Vital Spirit,75,95,67,125,95,83,149.9,63,"They dwell in volcanic craters. According to what is known, a single pair of male and female Magmortar lives in one volcano.","From its arm, it launches fireballs hotter than 3,500 degrees Fahrenheit. Its arm starts to melt when it fires a whole barrage.",Blast Pokemon,Magmar,Human-Like,
468,468,Togekiss,Fairy,Flying,Hustle,Serene Grace,Super Luck,85,50,95,120,115,80,83.8,59,,,Jubilee Pokemon,Togetic,Flying,Fairy
469,469,Yanmega,Bug,Flying,Speed Boost,Tinted Lens,Frisk,86,76,86,116,56,95,113.5,75,,,Ogre Darner Pokemon,Yanma,Bug,
470,470,Leafeon,Grass,,Leaf Guard,,Chlorophyll,65,110,130,60,65,95,56.2,39,Its cellular composition is closer to that of a plant than an animal. It uses photosynthesis to produce its energy supply without eating food.,"The younger they are, the more they smell like fresh grass. With age, their fragrance takes on the odor of fallen leaves.",Verdant Pokemon,Eevee,Field,
471,471,Glaceon,Ice,,Snow Cloak,,Ice Body,65,60,110,130,95,65,57.1,31,"It can control its body temperature at will. This enables it to freeze the moisture in the atmosphere, creating flurries of diamond dust.","It freezes its fur into icicles, spiky and sharp, and tackles its prey.",Fresh Snow Pokemon,Eevee,Field,
472,472,Gliscor,Ground,Flying,Hyper Cutter,Sand Veil,Poison Heal,75,95,125,45,75,95,93.7,79,,,Fang Scorpion Pokemon,Gligar,Bug,
473,473,Mamoswine,Ice,Ground,Oblivious,Snow Cloak,Thick Fat,110,130,80,70,60,80,641.5,98,,,Twin Tusk Pokemon,Piloswine,Field,
474,474,Porygon-Z,Normal,,Adaptability,Download,Analytic,85,80,70,135,75,90,75,35,"In order to create a more advanced Pokemon, an additional program was installed, but apparently it contained a defect that makes it move oddly.","Its program was modified to facilitate extra-dimensional activities, but that led to noticeably strange behavior.",Virtual Pokemon,Porygon2,Mineral,
475,475,Gallade,Psychic,Fighting,Steadfast,,Justified,68,125,65,65,115,80,114.6,63,,,Blade Pokemon,Kirlia,Amorphous,
476,476,Probopass,Rock,Steel,Sturdy,Magnet Pull,Sand Force,60,55,145,75,150,40,749.6,55,It radiates such a powerful magnetic field that nearby electrical appliances become unusable.,"The main body controls three mobile units called Mini-Noses, which it maneuvers to catch prey.",Compass Pokemon,Nosepass,Mineral,
477,477,Dusknoir,Ghost,,Pressure,,Frisk,45,100,135,65,135,45,235,87,,,Gripper Pokemon,Dusclops,Amorphous,
478,478,Froslass,Ice,Ghost,Snow Cloak,,Cursed Body,70,80,70,80,70,110,58.6,51,"When it finds humans or Pokemon it likes, it freezes them and takes them to its chilly den, where they become decorations.","The soul of a woman lost on a snowy mountain possessed an icicle, becoming this Pokemon. The food it most relishes is the souls of men.",Snow Land Pokemon,Snorunt,Fairy,Mineral
479,479,Rotom,Electric,Ghost,Levitate,,,50,50,77,95,77,91,0.7,12,,,Plasma Pokemon,,Amorphous,
480,480,Uxie,Psychic,,Levitate,,,75,75,130,75,130,95,0.7,12,,,Knowledge Pokemon,,Undiscovered,
481,481,Mesprit,Psychic,,Levitate,,,80,105,105,105,105,80,0.7,12,,,Emotion Pokemon,,Undiscovered,
482,482,Azelf,Psychic,,Levitate,,,75,125,70,125,70,115,0.7,12,,,Willpower Pokemon,,Undiscovered,
483,483,Dialga,Steel,Dragon,Pressure,,Telepathy,100,120,120,150,100,90,1505.8,213,,,Temporal Pokemon,,Undiscovered,
484,484,Palkia,Water,Dragon,Pressure,,Telepathy,90,120,100,150,120,100,740.8,165,,,Spatial Pokemon,,Undiscovered,
485,485,Heatran,Fire,Steel,Flash Fire,,Flame Body,91,90,106,130,106,77,948,67,,,Lava Dome Pokemon,,Undiscovered,
486,486,Regigigas,Normal,,Slow Start,,,110,160,110,80,110,100,925.9,146,,,Colossal Pokemon,,Undiscovered,
487,487,Giratina,Ghost,Dragon,Pressure,,Telepathy,150,100,120,100,120,90,1653.5,177,,,Renegade Pokemon,,Undiscovered,
488,488,Cresselia,Psychic,,Levitate,,,120,70,120,75,130,85,188.7,59,,,Lunar Pokemon,,Undiscovered,
489,489,Phione,Water,,Hydration,,,80,80,80,80,80,80,6.8,16,,,Sea Drifter Pokemon,,Water 1,Fairy
490,490,Manaphy,Water,,Hydration,,,100,100,100,100,100,100,3.1,12,,,Seafaring Pokemon,,Water 1,Fairy
491,491,Darkrai,Dark,,Bad Dreams,,,70,90,90,135,90,125,111.3,59,,,Pitch-Black Pokemon,,Undiscovered,
492,492,Shaymin,Grass,,Natural Cure,,,100,100,100,100,100,100,4.6,8,,,Gratitude Pokemon,,Undiscovered,
493,493,Arceus,Normal,,Multitype,,,120,120,120,120,120,120,705.5,126,,,Alpha Pokemon,,Undiscovered,
494,494,Victini,Psychic,Fire,Victory Star,,,100,100,100,100,100,100,8.8,16,,,Victory Pokemon,,Undiscovered,
495,495,Snivy,Grass,,Overgrow,,Contrary,45,45,55,45,55,63,17.9,24,,,Grass Snake Pokemon,,Field,Grass
496,496,Servine,Grass,,Overgrow,,Contrary,60,60,75,60,75,83,35.3,31,,,Grass Snake Pokemon,Snivy,Field,Grass
497,497,Serperior,Grass,,Overgrow,,Contrary,75,75,95,75,95,113,138.9,130,,,Regal Pokemon,Servine,Field,Grass
498,498,Tepig,Fire,,Blaze,,Thick Fat,65,63,45,45,45,45,21.8,20,,,Fire Pig Pokemon,,Field,
499,499,Pignite,Fire,Fighting,Blaze,,Thick Fat,90,93,55,70,55,55,122.4,39,,,Fire Pig Pokemon,Tepig,Field,
500,500,Emboar,Fire,Fighting,Blaze,,Reckless,110,123,65,100,65,65,330.7,63,,,Mega Fire Pig Pokemon,Pignite,Field,
501,501,Oshawott,Water,,Torrent,,Shell Armor,55,55,45,63,45,45,13,20,,,Sea Otter Pokemon,,Field,
502,502,Dewott,Water,,Torrent,,Shell Armor,75,75,60,83,60,60,54,31,,,Discipline Pokemon,Oshawott,Field,
503,503,Samurott,Water,,Torrent,,Shell Armor,95,100,85,108,70,70,208.6,59,,,Formidable Pokemon,Dewott,Field,
504,504,Patrat,Normal,,Run Away,Keen Eye,Analytic,45,55,39,35,39,42,25.6,20,,,Scout Pokemon,,Field,
505,505,Watchog,Normal,,Illuminate,Keen Eye,Analytic,60,85,69,60,69,77,59.5,43,,,Lookout Pokemon,Patrat,Field,
506,506,Lillipup,Normal,,Vital Spirit,Pickup,Run Away,45,60,45,25,45,55,9,16,"Because it doesn't yelp, it's extremely popular with Trainers who live in apartment buildings.","The long fur surrounding its face functions as radar, enabling it to probe the condition of its battle opponents.",Puppy Pokemon,,Field,
507,507,Herdier,Normal,,Intimidate,Sand Rush,Scrappy,65,80,65,35,65,60,32.4,35,Its dense black fur grows continuously. The high cost of keeping its hard fur properly groomed makes this a troublesome Pokemon to train.,"This Pokemon obeys its master's orders faithfully. However, it refuses to listen to anything said by a person it doesn't respect.",Loyal Dog Pokemon,Lillipup,Field,
508,508,Stoutland,Normal,,Intimidate,Sand Rush,Scrappy,85,110,90,45,90,80,134.5,47,"Intelligent, good-natured, and valiant, it's a trustworthy partner on rescue teams.","With this wise Pokemon, there could be no concern that it would ever attack people. Some parents even trust it to babysit.",Big-Hearted Pokemon,Herdier,Field,
509,509,Purrloin,Dark,,Limber,Unburden,Prankster,41,50,37,50,37,66,22.3,16,,,Devious Pokemon,,Field,
510,510,Liepard,Dark,,Limber,Unburden,Prankster,64,88,50,88,50,106,82.7,43,,,Cruel Pokemon,Purrloin,Field,
511,511,Pansage,Grass,,Gluttony,,Overgrow,50,53,48,53,48,64,23.1,24,,,Grass Monkey Pokemon,,Field,
512,512,Simisage,Grass,,Gluttony,,Overgrow,75,98,63,98,63,101,67.2,43,,,Thorn Monkey Pokemon,Pansage,Field,
513,513,Pansear,Fire,,Gluttony,,Blaze,50,53,48,53,48,64,24.3,24,,,High Temp Pokemon,,Field,
514,514,Simisear,Fire,,Gluttony,,Blaze,75,98,63,98,63,101,61.7,39,,,Ember Pokemon,Pansear,Field,
515,515,Panpour,Water,,Gluttony,,Torrent,50,53,48,53,48,64,29.8,24,,,Spray Pokemon,,Field,
516,516,Simipour,Water,,Gluttony,,Torrent,75,98,63,98,63,101,63.9,39,,,Geyser Pokemon,Panpour,Field,
517,517,Munna,Psychic,,Forewarn,Synchronize,Telepathy,76,25,45,67,55,24,51.4,24,,,Dream Eater Pokemon,,Field,
518,518,Musharna,Psychic,,Forewarn,Synchronize,Telepathy,116,55,85,107,95,29,133.4,43,,,Drowsing Pokemon,Munna,Field,
519,519,Pidove,Normal,Flying,Big Pecks,Super Luck,Rivalry,50,55,50,36,30,43,4.6,12,,,Tiny Pigeon Pokemon,,Flying,
520,520,Tranquill,Normal,Flying,Big Pecks,Super Luck,Rivalry,62,77,62,50,42,65,33.1,24,,,Wild Pigeon Pokemon,Pidove,Flying,
521,521,Unfezant,Normal,Flying,Big Pecks,Super Luck,Rivalry,80,115,80,65,55,93,63.9,47,,,Proud Pokemon,Tranquill,Flying,
522,522,Blitzle,Electric,,Lightning Rod,Motor Drive,Sap Sipper,45,60,32,50,32,76,65.7,31,,,Electrified Pokemon,,Field,
523,523,Zebstrika,Electric,,Lightning Rod,Motor Drive,Sap Sipper,75,100,63,80,63,116,175.3,63,,,Thunderbolt Pokemon,Blitzle,Field,
524,524,Roggenrola,Rock,,Sturdy,Weak Armor,Sand Force,55,75,85,25,25,15,39.7,16,"Born deep within the ground, it compares itself with similar species, such as Geodude and Carbink, to settle which has the hardest body.","The hexagonal cavity is its ear. It walks in the direction of sounds it hears, but if the sounds cease, it panics and topples over.",Mantle Pokemon,,Mineral,
525,525,Boldore,Rock,,Sturdy,Weak Armor,Sand Force,70,105,105,50,40,20,224.9,35,Its orange crystal is a mass of energy. Just one crystal fragment would provide enough fuel for a hundred dump trucks.,"It explores caves in search of underground water. It's not comfortable around water, so this Pokemon takes great care in lapping it up.",Ore Pokemon,Roggenrola,Mineral,
526,526,Gigalith,Rock,,Sturdy,Sand Stream,Sand Force,85,135,130,60,80,25,573.2,67,"The blasts of energy it makes from sunbeams have terrifying power. However, it's not able to fire its blasts at night or on rainy days.","Known for its hefty horsepower, this Pokemon is a popular partner for construction workers.",Compressed Pokemon,Boldore,Mineral,
527,527,Woobat,Psychic,Flying,Unaware,Klutz,Simple,65,45,43,55,43,72,4.6,16,,,Bat Pokemon,,Field,Flying
528,528,Swoobat,Psychic,Flying,Unaware,Klutz,Simple,67,57,55,77,55,114,23.1,35,,,Courting Pokemon,Woobat,Field,Flying
529,529,Drilbur,Ground,,Sand Rush,Sand Force,Mold Breaker,60,85,40,30,45,68,18.7,12,,,Mole Pokemon,,Field,
530,530,Excadrill,Ground,Steel,Sand Rush,Sand Force,Mold Breaker,110,135,60,50,65,88,89.1,28,,,Subterrene Pokemon,Drilbur,Field,
531,531,Audino,Normal,,Healer,Regenerator,Klutz,103,60,86,60,86,50,68.3,43,,,Hearing Pokemon,,Fairy,
532,532,Timburr,Fighting,,Guts,Sheer Force,Iron Fist,75,80,55,25,35,35,27.6,24,,,Muscular Pokemon,,Human-Like,
533,533,Gurdurr,Fighting,,Guts,Sheer Force,Iron Fist,85,105,85,40,50,40,88.2,47,,,Muscular Pokemon,Timburr,Human-Like,
534,534,Conkeldurr,Fighting,,Guts,Sheer Force,Iron Fist,105,140,95,55,65,45,191.8,55,,,Muscular Pokemon,Gurdurr,Human-Like,
535,535,Tympole,Water,,Swift Swim,Hydration,Water Absorb,50,50,40,50,40,64,9.9,20,,,Tadpole Pokemon,,Water 1,
536,536,Palpitoad,Water,Ground,Swift Swim,Hydration,Water Absorb,75,65,55,65,55,69,37.5,31,,,Vibration Pokemon,Tympole,Water 1,
537,537,Seismitoad,Water,Ground,Swift Swim,Poison Touch,Water Absorb,105,95,75,85,75,74,136.7,59,,,Vibration Pokemon,Palpitoad,Water 1,
538,538,Throh,Fighting,,Guts,Inner Focus,Mold Breaker,120,100,85,30,85,45,122.4,51,,,Judo Pokemon,,Human-Like,
539,539,Sawk,Fighting,,Sturdy,Inner Focus,Mold Breaker,75,125,75,30,75,85,112.4,55,,,Karate Pokemon,,Human-Like,
540,540,Sewaddle,Bug,Grass,Swarm,Chlorophyll,Overcoat,45,53,70,40,60,42,5.5,12,,,Sewing Pokemon,,Bug,
541,541,Swadloon,Bug,Grass,Leaf Guard,Chlorophyll,Overcoat,55,63,90,50,80,42,16.1,20,,,Leaf-Wrapped Pokemon,Sewaddle,Bug,
542,542,Leavanny,Bug,Grass,Swarm,Chlorophyll,Overcoat,75,103,80,70,80,92,45.2,47,,,Nurturing Pokemon,Swadloon,Bug,
543,543,Venipede,Bug,Poison,Poison Point,Swarm,Speed Boost,30,45,59,30,39,57,11.7,16,,,Centipede Pokemon,,Bug,
544,544,Whirlipede,Bug,Poison,Poison Point,Swarm,Speed Boost,40,55,99,40,79,47,129,47,,,Curlipede Pokemon,Venipede,Bug,
545,545,Scolipede,Bug,Poison,Poison Point,Swarm,Speed Boost,60,100,89,55,69,112,442,98,,,Megapede Pokemon,Whirlipede,Bug,
546,546,Cottonee,Grass,Fairy,Prankster,Infiltrator,Chlorophyll,40,27,60,37,50,66,1.3,12,"When it finds others of its kind, they all stick together. When enough of them have collected, the mass resembles a cumulonimbus cloud.","Pillows and beds stuffed with cotton exhaled by Cottonee are soft and puffy, light and airy— altogether top quality.",Cotton Puff Pokemon,,Grass,Fairy
547,547,Whimsicott,Grass,Fairy,Prankster,Infiltrator,Chlorophyll,60,67,85,77,75,116,14.6,28,"It rides on the wind and slips into people's homes. After it has turned a room into a cotton- filled mess, it giggles to itself and takes off.","This Pokemon appears, riding upon the wind. But if the wind gusts up, it'll blow the cotton on this Pokemon's head clean off.",Windveiled Pokemon,Cottonee,Grass,Fairy
548,548,Petilil,Grass,,Chlorophyll,Own Tempo,Leaf Guard,45,35,50,70,50,30,14.6,20,"Although the leaves on its head are bitter enough to cause dizziness, they provide relief from weariness—even more so when boiled.","By pruning the leaves on its head with regularity, this Pokemon can be grown into a fine plump shape.",Bulb Pokemon,,Grass,
549,549,Lilligant,Grass,,Chlorophyll,Own Tempo,Leaf Guard,70,60,75,110,75,90,35.9,43,"No matter how much time and money is spent raising it, its flowers are the most beautiful when they bloom in the wild.","As soon as it finds a male to be its partner, the beautiful flower on its head darkens, droops, and withers away.",Flowering Pokemon,Petilil,Grass,
550,550,Basculin,Water,,Reckless,Adaptability,Mold Breaker,70,92,65,80,55,98,39.7,39,,,Hostile Pokemon,,Water 2,
551,551,Sandile,Ground,Dark,Intimidate,Moxie,Anger Point,50,72,35,35,35,65,33.5,28,It submerges itself in sand and moves as if swimming. This wise behavior keeps its enemies from finding it and maintains its temperature.,It conceals itself in the sand and chomps down on the legs of any prey that unwarily walk over it. Its favorite food is Trapinch.,Desert Croc Pokemon,,Field,
552,552,Krokorok,Ground,Dark,Intimidate,Moxie,Anger Point,60,82,45,45,45,74,73.6,39,"They move in groups of a few individuals. A female is often the leader of the group, and the males will gather food.","Thanks to the special membrane covering its eyes, it can see its surroundings clearly, even in the middle of the night.",Desert Croc Pokemon,Sandile,Field,
553,553,Krookodile,Ground,Dark,Intimidate,Moxie,Anger Point,95,117,80,65,70,92,212.3,59,"Its unique faculty of sight can detect small prey more than 30 miles away, even in the midst of a sandstorm.","After clamping down with its powerful jaws, it twists its body around to rip its prey in half.",Intimidation Pokemon,Krokorok,Field,
554,554,Darumaka,Fire,,Hustle,,Inner Focus,70,90,45,15,45,50,82.7,24,,,Zen Charm Pokemon,,Field,
555,555,Darmanitan,Fire,,Sheer Force,,Zen Mode,105,140,55,30,55,95,204.8,51,,,Blazing Pokemon,Darumaka,Field,
556,556,Maractus,Grass,,Water Absorb,Chlorophyll,Storm Drain,75,86,67,106,67,60,61.7,39,,,Cactus Pokemon,,Grass,
557,557,Dwebble,Bug,Rock,Sturdy,Shell Armor,Weak Armor,50,65,85,35,35,55,32,12,,,Rock Inn Pokemon,,Bug,Mineral
