id	ndex	species	type1	type2	ability1	ability2	abilityH	hp	attack	defense	spattack	spdefense	speed	total	weight	height	dex1	dex2	class	percent-male	percent-female	pre-evolution	egg-group1	egg-group2
374	374	Beldum	Steel	Psychic	Clear Body		Light Metal	40	55	80	35	60	30	300	209.9	24	Its cells are all magnets. It uses magnetism to communicate with others of its kind.	'With magnetic traction, it pulls its opponents in close. When they're in range, it slashes them with its rear claws.'	Iron Ball Pokemon				Mineral	
375	375	Metang	Steel	Psychic	Clear Body		Light Metal	60	75	100	55	80	50	420	446.4	47	'When two Beldum link together, their psychic power is doubled. Their intelligence, however, remains unchanged.'	'It adores magnetic minerals, so it pursues Nosepass at speeds exceeding 60 mph.'	Iron Claw Pokemon			Beldum	Mineral	
376	376	Metagross	Steel	Psychic	Clear Body		Light Metal	80	135	130	95	90	70	600	1212.5	63	It firmly pins its prey using its four claws and large body. Then the teeth in the mouth on its stomach chew the prey to bits.	'A linkage of two Metang, this Pokemon can perform any calculation in a flash by utilizing parallel processing in its four brains.'	Iron Leg Pokemon			Metang	Mineral	
377	377	Regirock	Rock		Clear Body		Sturdy	80	100	200	50	100	50	580	507.1	67			Rock Peak Pokemon				Undiscovered	
378	378	Regice	Ice		Clear Body		Ice Body	80	50	100	100	200	50	580	385.8	71			Iceberg Pokemon				Undiscovered	
379	379	Registeel	Steel		Clear Body		Light Metal	80	75	150	75	150	50	580	451.9	75			Iron Pokemon				Undiscovered	
380	380	Latias	Dragon	Psychic	Levitate			80	80	90	110	130	110	600	88.2	55			Eon Pokemon	0	1		Undiscovered	
381	381	Latios	Dragon	Psychic	Levitate			80	90	80	130	110	110	600	132.3	79			Eon Pokemon	1	0		Undiscovered	
382	382	Kyogre	Water		Drizzle			100	100	90	150	140	90	670	776	177			Sea Basin Pokemon				Undiscovered	
383	383	Groudon	Ground		Drought			100	150	140	100	90	90	670	2094.4	138			Continent Pokemon				Undiscovered	
384	384	Rayquaza	Dragon	Flying	Air Lock			105	150	90	150	90	95	680	455.2	276			Sky High Pokemon				Undiscovered	
385	385	Jirachi	Steel	Psychic	Serene Grace			100	100	100	100	100	100	600	2.4	12			Wish Pokemon				Undiscovered	
386	386	Deoxys	Psychic		Pressure			50	150	50	150	50	150	600	134	67			DNA Pokemon				Undiscovered	
387	387	Turtwig	Grass		Overgrow		Shell Armor	55	68	64	45	55	31	318	22.5	16			Tiny Leaf Pokemon	0.875	0.125		Monster	Grass
388	388	Grotle	Grass		Overgrow		Shell Armor	75	89	85	55	65	36	405	213.8	43			Grove Pokemon	0.875	0.125	Turtwig	Monster	Grass
389	389	Torterra	Grass	Ground	Overgrow		Shell Armor	95	109	105	75	85	56	525	683.4	87			Continent Pokemon	0.875	0.125	Grotle	Monster	Grass
390	390	Chimchar	Fire		Blaze		Iron Fist	44	58	44	58	44	61	309	13.7	20			Chimp Pokemon	0.875	0.125		Field	Human-Like
391	391	Monferno	Fire	Fighting	Blaze		Iron Fist	64	78	52	78	52	81	405	48.5	35			Playful Pokemon	0.875	0.125	Chimchar	Field	Human-Like
392	392	Infernape	Fire	Fighting	Blaze		Iron Fist	76	104	71	104	71	108	534	121.3	47			Flame Pokemon	0.875	0.125	Monferno	Field	Human-Like
393	393	Piplup	Water		Torrent		Defiant	53	51	53	61	56	40	314	11.5	16			Penguin Pokemon	0.875	0.125		Water 1	Field
394	394	Prinplup	Water		Torrent		Defiant	64	66	68	81	76	50	405	50.7	31			Penguin Pokemon	0.875	0.125	Piplup	Water 1	Field
395	395	Empoleon	Water	Steel	Torrent		Defiant	84	86	88	111	101	60	530	186.3	67			Emperor Pokemon	0.875	0.125	Prinplup	Water 1	Field
396	396	Starly	Normal	Flying	Keen Eye		Reckless	40	55	30	30	30	60	245	4.4	12			Starling Pokemon	0.5	0.5		Flying	
397	397	Staravia	Normal	Flying	Intimidate		Reckless	55	75	50	40	40	80	340	34.2	24			Starling Pokemon	0.5	0.5	Starly	Flying	
398	398	Staraptor	Normal	Flying	Intimidate		Reckless	85	120	70	50	60	100	485	54.9	47			Predator Pokemon	0.5	0.5	Staravia	Flying	
399	399	Bidoof	Normal		Simple	Unaware	Moody	59	45	40	35	40	31	250	44.1	20			Plump Mouse Pokemon	0.5	0.5		Water 1	Field
400	400	Bibarel	Normal	Water	Simple	Unaware	Moody	79	85	60	55	60	71	410	69.4	39			Beaver Pokemon	0.5	0.5	Bidoof	Water 1	Field
401	401	Kricketot	Bug		Shed Skin		Run Away	37	25	41	25	41	25	194	4.9	12			Cricket Pokemon	0.5	0.5		Bug	
402	402	Kricketune	Bug		Swarm		Technician	77	85	51	55	51	65	384	56.2	39			Cricket Pokemon	0.5	0.5	Kricketot	Bug	
403	403	Shinx	Electric		Rivalry	Intimidate	Guts	45	65	34	40	34	45	263	20.9	20			Flash Pokemon	0.5	0.5		Field	
404	404	Luxio	Electric		Rivalry	Intimidate	Guts	60	85	49	60	49	60	363	67.2	35			Spark Pokemon	0.5	0.5	Shinx	Field	
405	405	Luxray	Electric		Rivalry	Intimidate	Guts	80	120	79	95	79	70	523	92.6	55			Gleam Eyes Pokemon	0.5	0.5	Luxio	Field	
406	406	Budew	Grass	Poison	Mold Breaker		Sheer Force	40	30	35	50	70	55	280	2.6	8			Bud Pokemon	0.5	0.5		Undiscovered	
407	407	Roserade	Grass	Poison	Mold Breaker		Sheer Force	60	70	65	125	105	90	515	32	35			Bouquet Pokemon	0.5	0.5	Roselia	Fairy	Grass
408	408	Cranidos	Rock		Sturdy		Soundproof	67	125	40	30	30	58	350	69.4	35	It lived in jungles around a hundred million years ago. It used its skillful headbutts to combat Aerodactyl.	'In rock layers where Cranidos fossils are found, the fossilized trunks of trees snapped in two are also often found.'	Head Butt Pokemon	0.875	0.125		Monster	
409	409	Rampardos	Rock		Sturdy		Soundproof	97	165	60	65	50	58	495	226	63	'The result of repeated headbutts is a skull grown thick and hard. However, its brain has shrunk in size compared with Cranidos's.'	Records exist of a revived fossil that evolved into Rampardos. It proceeded to escape and then destroy a skyscraper with a headbutt.	Head Butt Pokemon	0.875	0.125	Cranidos	Monster	
410	410	Shieldon	Rock	Steel	Shed Skin		Overcoat	30	42	118	42	88	30	350	125.7	20	'Many fossils of this Pokemon have been found, but almost none have shown signs of damage to the face.'	'This Pokemon lived in primeval jungles. Few enemies would have been willing to square off against its heavily armored face, so it's thought.'	Shield Pokemon	0.875	0.125		Monster	
411	411	Bastiodon	Rock	Steel	Shed Skin		Overcoat	60	52	168	47	138	30	495	329.6	51	'While it can guard against any sort of attack from the front, it is left without recourse when attacked from behind.'	It lived in the same environments as Rampardos. Their fossils have been found together— seemingly from after they'd fought to the finish.	Shield Pokemon	0.875	0.125	Shieldon	Monster	
412	412	Burmy	Bug		Shed Skin		Overcoat	40	29	45	29	45	36	224	7.5	8			Bagworm Pokemon	0.5	0.5		Bug	
413	413	Wormadam	Bug	Grass	Anticipation		Overcoat	60	59	85	79	105	36	424	14.3	20			Bagworm Pokemon	0	1	Burmy	Bug	
414	414	Mothim	Bug	Flying	Swarm		Tinted Lens	70	94	50	94	50	66	424	51.4	35			Moth Pokemon	1	0	Burmy	Bug	
415	415	Combee	Bug	Flying	Honey Gather		Hustle	30	30	42	30	42	70	244	12.1	12			Tiny Bee Pokemon	0.875	0.125		Bug	
416	416	Vespiquen	Bug	Flying	Pressure		Unnerve	70	80	102	80	102	40	474	84.9	47			Beehive Pokemon	0	1	Combee	Bug	
417	417	Pachirisu	Electric		Run Away	Pickup	Volt Absorb	60	45	70	45	90	95	405	8.6	16			EleSquirrel Pokemon	0.5	0.5		Field	Fairy
418	418	Buizel	Water		Swift Swim		Water Veil	55	65	35	60	30	85	330	65	28			Sea Weasel Pokemon	0.5	0.5		Water 1	Field
419	419	Floatzel	Water		Swift Swim		Water Veil	85	105	55	85	50	115	495	73.9	43			Sea Weasel Pokemon	0.5	0.5	Buizel	Water 1	Field
420	420	Cherubi	Grass		Chlorophyll			45	35	45	62	53	35	275	7.3	16			Cherry Pokemon	0.5	0.5		Fairy	Grass
421	421	Cherrim	Grass		Flower Gift			70	60	70	87	78	85	450	20.5	20			Blossom Pokemon	0.5	0.5	Cherubi	Fairy	Grass
422	422	Shellos	Water		Sticky Hold	Storm Drain	Sand Force	76	48	48	57	62	34	325	13.9	12	'For the most part, it makes its home along the seashore. Its color and form differ according to its habitat and the quality of its food.'	'Purple mucus sticks to the hands of anyone who touches it. Take care, as the substance is troublesome to wash off.'	Sea Slug Pokemon	0.5	0.5		Water 1	Amorphous
423	423	Gastrodon	Water	Ground	Sticky Hold	Storm Drain	Sand Force	111	83	68	92	82	39	475	65.9	35	'It has strong regenerative capabilities. Even if parts of it are bitten off by fish Pokemon, it will return to normal within a few hours.'	'Plankton, invisible to the naked eye, is its main food source. It comes onto the land periodically, but the reason for this is not known.'	Sea Slug Pokemon	0.5	0.5	Shellos	Water 1	Amorphous
424	424	Ambipom	Normal		Technician	Pickup	Skill Link	75	100	66	60	66	115	482	44.8	47			Long Tail Pokemon	0.5	0.5	Aipom	Field	
425	425	Drifloon	Ghost	Flying	Aftermath	Unburden	Flare Boost	90	50	34	60	44	70	348	2.6	16	Stories go that it grabs the hands of small children and drags them away to the afterlife. It dislikes heavy children.	'If for some reason its body bursts, its soul spills out with a screaming sound.'	Balloon Pokemon	0.5	0.5		Amorphous	
426	426	Drifblim	Ghost	Flying	Aftermath	Unburden	Flare Boost	150	80	44	90	54	80	498	33.1	47	'There was once an incident in which a man took a trip riding a Drifblim, only to go missing.'	'Even while under careful observation, large flocks of Drifblim flying at dusk will inexplicably disappear from view.'	Blimp Pokemon	0.5	0.5	Drifloon	Amorphous	
427	427	Buneary	Normal		Run Away	Klutz	Limber	55	66	44	44	56	85	350	12.1	16			Rabbit Pokemon	0.5	0.5		Field	Human-Like
428	428	Lopunny	Normal		Cute Charm	Klutz	Limber	65	76	84	54	96	105	480	73.4	47			Rabbit Pokemon	0.5	0.5	Buneary	Field	Human-Like
429	429	Mismagius	Ghost		Levitate			60	60	60	105	105	105	495	9.7	35	'It appears as if from nowhere—muttering incantations, placing curses, and giving people terrifying visions.'	'Mismagius have been known to cast spells to make people fall in love, so some people search for this Pokemon as if their life depended on it.'	Magical Pokemon	0.5	0.5	Misdreavus	Amorphous	
430	430	Honchkrow	Dark	Flying	Insomnia	Super Luck	Moxie	100	125	52	105	52	71	505	60.2	35	'A single cry from this nocturnal Pokemon, and more than a hundred of its Murkrow cronies will assemble.'	'If its Murkrow cronies fail to catch food for it, or if it feels they have betrayed it, it will hunt them down wherever they are and punish them.'	Big Boss Pokemon	0.5	0.5	Murkrow	Flying	
431	431	Glameow	Normal		Limber	Own Tempo	Keen Eye	49	55	42	42	37	85	310	8.6	20			Catty Pokemon	0.25	0.75		Field	
432	432	Purugly	Normal		Thick Fat	Own Tempo	Defiant	71	82	64	64	59	112	452	96.6	39			Tiger Cat Pokemon	0.25	0.75	Glameow	Field	
433	433	Chingling	Psychic		Levitate			45	30	50	65	50	45	285	1.3	8			Bell Pokemon	0.5	0.5		Undiscovered	
434	434	Stunky	Poison	Dark	Stench	Aftermath	Keen Eye	63	63	47	41	41	74	329	42.3	16			Skunk Pokemon	0.5	0.5		Field	
435	435	Skuntank	Poison	Dark	Stench	Aftermath	Keen Eye	103	93	67	71	61	84	479	83.8	39			Skunk Pokemon	0.5	0.5	Stunky	Field	
436	436	Bronzor	Steel	Psychic	Levitate	Heatproof	Heavy Metal	57	24	86	24	86	23	300	133.4	20			Bronze Pokemon				Mineral	
437	437	Bronzong	Steel	Psychic	Levitate	Heatproof	Heavy Metal	67	89	116	79	116	33	500	412.3	51			Bronze Bell Pokemon			Bronzor	Mineral	
438	438	Bonsly	Rock		Sturdy	Rock Head	Rattled	50	80	95	10	45	10	290	33.1	20	'It does not deal well with water, so it lives in dry locales. Since its surroundings tend to lack greenery, it stands out noticeably.'	'From its eyes, it can expel excess moisture from its body. This liquid is similar in composition to human sweat.'	Bonsai Pokemon	0.5	0.5		Undiscovered	
439	439	Mime Jr.	Psychic	Fairy	Soundproof	Filter	Technician	20	25	45	70	90	60	310	28.7	24			Mime Pokemon	0.5	0.5		Undiscovered	
440	440	Happiny	Normal		Natural Cure	Serene Grace	Friend Guard	100	5	5	15	65	30	220	53.8	24	'It carries a round white rock in its belly pouch. If it gets along well with someone, it will sometimes give that person the rock.'	'It's too small to lay eggs yet. As a surrogate, it searches out round white stones.'	Playhouse Pokemon	0	1		Undiscovered	
441	441	Chatot	Normal	Flying	Keen Eye	Tangled Feet	Big Pecks	76	65	45	92	42	91	411	4.2	20			Music Note Pokemon	0.5	0.5		Flying	
442	442	Spiritomb	Ghost		Pressure		Infiltrator	50	92	108	92	108	35	485	238.1	39			Forbidden Pokemon	0.5	0.5		Amorphous	
443	443	Gible	Dragon	Ground	Sand Veil		Rough Skin	58	70	45	40	45	42	300	45.2	28	'It lives in caves warmed by geothermal heat. Even so, when the weather gets cold, it will huddle close with others of its kind.'	'It skulks in caves, and when prey or an enemy passes by, it leaps out and chomps them. The force of its attack sometimes chips its teeth.'	Land Shark Pokemon	0.5	0.5		Monster	Dragon
444	444	Gabite	Dragon	Ground	Sand Veil		Rough Skin	68	90	65	50	55	82	410	123.5	55	'In rare cases, it molts and sheds its scales. Medicine containing its scales as an ingredient will make a weary body feel invigorated.'	'Shiny objects are its passion. It can be found in its cave, scarcely moving, its gaze fixed on the jewels it's amassed or Carbink it has caught.'	Cave Pokemon	0.5	0.5	Gible	Monster	Dragon
445	445	Garchomp	Dragon	Ground	Sand Veil		Rough Skin	108	130	95	80	85	102	600	209.4	75	It can fly at speeds rivaling jet planes. It dives into flocks of bird Pokemon and gulps the entire flock down whole.	The protuberances on its head serve as sensors. It can even detect distant prey.	Mach Pokemon	0.5	0.5	Gabite	Monster	Dragon
446	446	Munchlax	Normal		Pickup	Thick Fat	Gluttony	135	85	40	40	85	5	390	231.5	24	'It needs to consume its own weight in food every day. As far as flavor is concerned, it's indifferent.'	'When it finds something that looks like it might be edible, it goes right ahead and swallows it whole. That's why it gets fatter day by day.'	Big Eater Pokemon	0.875	0.125		Undiscovered	
447	447	Riolu	Fighting		Steadfast	Inner Focus	Prankster	40	70	40	35	40	60	285	44.5	28	'It can discern the physical and emotional states of people, Pokemon, and other natural things from the shape of their aura waves.'	'It's tough enough to run right through the night, and it's also a hard worker, but it's still just a youngster.'	Emanation Pokemon	0.875	0.125		Undiscovered	
448	448	Lucario	Fighting	Steel	Steadfast	Inner Focus	Justified	70	110	70	115	70	90	525	119	47	'Not only does it perceive auras, but it has also gained the power to control them. It employs them in battle.'	They can detect the species of a living being— and its emotions—from over half a mile away. They control auras and hunt their prey in packs.	Aura Pokemon	0.875	0.125	Riolu	Field	Human-Like
449	449	Hippopotas	Ground		Sand Stream		Sand Force	68	72	78	38	42	32	330	109.1	31			Hippo Pokemon	0.5	0.5		Field	
450	450	Hippowdon	Ground		Sand Stream		Sand Force	108	112	118	68	72	47	525	661.4	79			Heavyweight Pokemon	0.5	0.5	Hippopotas	Field	
451	451	Skorupi	Poison	Bug	Battle Armor	Sniper	Keen Eye	40	50	90	30	55	65	330	26.5	31			Scorpion Pokemon	0.5	0.5		Bug	Water 3
452	452	Drapion	Poison	Dark	Battle Armor	Sniper	Keen Eye	70	90	110	60	75	95	500	135.6	51			Ogre Scorpion Pokemon	0.5	0.5	Skorupi	Bug	Water 3
453	453	Croagunk	Poison	Fighting	Anticipation	Dry Skin	Poison Touch	48	61	40	61	40	50	300	50.7	28			Toxic Mouth Pokemon	0.5	0.5		Human-Like	
454	454	Toxicroak	Poison	Fighting	Anticipation	Dry Skin	Poison Touch	83	106	65	86	65	85	490	97.9	51			Toxic Mouth Pokemon	0.5	0.5	Croagunk	Human-Like	
455	455	Carnivine	Grass		Levitate			74	100	72	90	72	46	454	59.5	55			Bug Catcher Pokemon	0.5	0.5		Grass	
456	456	Finneon	Water		Swift Swim	Storm Drain	Water Veil	49	49	56	49	61	66	330	15.4	16	'It absorbs sunlight with the pink areas of its skin, which then shine. This appears to be a form of camouflage.'	'Its double tail fins propel its energetic jumps. When it breaks the surface of the sea, Wingull swoop down to grab it on the fly.'	Wing Fish Pokemon	0.5	0.5		Water 2	
457	457	Lumineon	Water		Swift Swim	Storm Drain	Water Veil	69	69	76	69	86	91	460	52.9	47	'With its shining light, it lures its prey close. However, the light also happens to attract ferocious fish Pokemon—its natural predators.'	This deep-sea Pokemon lives at the bottom of the sea. Its fins haul it over the seabed in search of its favorite food—Starmie.	Neon Pokemon	0.5	0.5	Finneon	Water 2	
458	458	Mantyke	Water	Flying	Swift Swim	Water Absorb	Water Veil	45	20	50	60	120	50	345	143.3	39			Kite Pokemon	0.5	0.5		Undiscovered	
459	459	Snover	Grass	Ice	Snow Warning		Soundproof	60	62	50	62	60	40	334	111.3	39			Frost Tree Pokemon	0.5	0.5		Monster	Grass
460	460	Abomasnow	Grass	Ice	Snow Warning		Soundproof	90	92	75	92	85	60	494	298.7	87			Frost Tree Pokemon	0.5	0.5	Snover	Monster	Grass
461	461	Weavile	Dark	Ice	Pressure		Pickpocket	70	120	65	45	85	125	510	75	43	'They travel in groups of four or five, leaving signs for one another on trees and rocks. They bring down their prey with coordinated attacks.'	'They dwell in cold places. This Pokemon's main food source in Alola is Vulpix and Sandshrew, which they carefully divide among their group.'	Sharp Claw Pokemon	0.5	0.5	Sneasel	Field	
462	462	Magnezone	Electric	Steel	Magnet Pull	Sturdy	Analytic	70	70	115	130	90	60	535	396.8	47	Three units generate magnetism. There have been many mistaken reports of UFO sightings when Magnezone flies through the night sky.	'As it zooms through the sky, this Pokemon seems to be receiving signals of unknown origin, while transmitting signals of unknown purpose.'	Magnet Area Pokemon	0.5	0.5	Magneton	Mineral	
463	463	Lickilicky	Normal		Own Tempo	Oblivious	Cloud Nine	110	85	95	80	95	50	515	308.6	67			Licking Pokemon	0.5	0.5	Lickitung	Monster	
464	464	Rhyperior	Ground	Rock	Lightning Rod	Solid Rock	Reckless	115	140	130	55	55	40	535	623.5	94			Drill Pokemon	0.5	0.5	Rhydon	Monster	Field
465	465	Tangrowth	Grass		Chlorophyll	Leaf Guard	Regenerator	100	100	125	110	50	50	535	283.5	79			Vine Pokemon	0.5	0.5	Tangela	Grass	
466	466	Electivire	Electric		Motor Drive		Vital Spirit	75	123	67	95	85	95	540	305.6	71	It pushes the tips of its tails against its foes and then lets loose a high-voltage current. Its foes are burned to a crisp in an instant.	'When it gets excited, it thumps its chest. With every thud, thunder roars and electric sparks shower all around.'	Thunderbolt Pokemon	0.5	0.5	Electabuzz	Human-Like	
467	467	Magmortar	Fire		Flame Body		Vital Spirit	75	95	67	125	95	83	540	149.9	63	'They dwell in volcanic craters. According to what is known, a single pair of male and female Magmortar lives in one volcano.'	'From its arm, it launches fireballs hotter than 3,500 degrees Fahrenheit. Its arm starts to melt when it fires a whole barrage.'	Blast Pokemon	0.5	0.5	Magmar	Human-Like	
468	468	Togekiss	Fairy	Flying	Hustle	Serene Grace	Super Luck	85	50	95	120	115	80	545	83.8	59			Jubilee Pokemon	0.875	0.125	Togetic	Flying	Fairy
469	469	Yanmega	Bug	Flying	Speed Boost	Tinted Lens	Frisk	86	76	86	116	56	95	515	113.5	75			Ogre Darner Pokemon	0.5	0.5	Yanma	Bug	
470	470	Leafeon	Grass		Leaf Guard		Chlorophyll	65	110	130	60	65	95	525	56.2	39	Its cellular composition is closer to that of a plant than an animal. It uses photosynthesis to produce its energy supply without eating food.	'The younger they are, the more they smell like fresh grass. With age, their fragrance takes on the odor of fallen leaves.'	Verdant Pokemon	0.875	0.125	Eevee	Field	
471	471	Glaceon	Ice		Snow Cloak		Ice Body	65	60	110	130	95	65	525	57.1	31	'It can control its body temperature at will. This enables it to freeze the moisture in the atmosphere, creating flurries of diamond dust.'	'It freezes its fur into icicles, spiky and sharp, and tackles its prey.'	Fresh Snow Pokemon	0.875	0.125	Eevee	Field	
472	472	Gliscor	Ground	Flying	Hyper Cutter	Sand Veil	Poison Heal	75	95	125	45	75	95	510	93.7	79			Fang Scorpion Pokemon	0.5	0.5	Gligar	Bug	
473	473	Mamoswine	Ice	Ground	Oblivious	Snow Cloak	Thick Fat	110	130	80	70	60	80	530	641.5	98			Twin Tusk Pokemon	0.5	0.5	Piloswine	Field	
474	474	Porygon-Z	Normal		Adaptability	Download	Analytic	85	80	70	135	75	90	535	75	35	'In order to create a more advanced Pokemon, an additional program was installed, but apparently it contained a defect that makes it move oddly.'	'Its program was modified to facilitate extra-dimensional activities, but that led to noticeably strange behavior.'	Virtual Pokemon			Porygon2	Mineral	
475	475	Gallade	Psychic	Fighting	Steadfast		Justified	68	125	65	65	115	80	518	114.6	63			Blade Pokemon	1	0	Kirlia	Amorphous	
476	476	Probopass	Rock	Steel	Sturdy	Magnet Pull	Sand Force	60	55	145	75	150	40	525	749.6	55	It radiates such a powerful magnetic field that nearby electrical appliances become unusable.	'The main body controls three mobile units called Mini-Noses, which it maneuvers to catch prey.'	Compass Pokemon	0.5	0.5	Nosepass	Mineral	
477	477	Dusknoir	Ghost		Pressure		Frisk	45	100	135	65	135	45	525	235	87			Gripper Pokemon	0.5	0.5	Dusclops	Amorphous	
478	478	Froslass	Ice	Ghost	Snow Cloak		Cursed Body	70	80	70	80	70	110	480	58.6	51	'When it finds humans or Pokemon it likes, it freezes them and takes them to its chilly den, where they become decorations.'	'The soul of a woman lost on a snowy mountain possessed an icicle, becoming this Pokemon. The food it most relishes is the souls of men.'	Snow Land Pokemon	0	1	Snorunt	Fairy	Mineral
479	479	Rotom	Electric	Ghost	Levitate			50	50	77	95	77	91	440	0.7	12			Plasma Pokemon				Amorphous	
480	480	Uxie	Psychic		Levitate			75	75	130	75	130	95	580	0.7	12			Knowledge Pokemon				Undiscovered	
481	481	Mesprit	Psychic		Levitate			80	105	105	105	105	80	580	0.7	12			Emotion Pokemon				Undiscovered	
482	482	Azelf	Psychic		Levitate			75	125	70	125	70	115	580	0.7	12			Willpower Pokemon				Undiscovered	
483	483	Dialga	Steel	Dragon	Pressure		Telepathy	100	120	120	150	100	90	680	1505.8	213			Temporal Pokemon				Undiscovered	
484	484	Palkia	Water	Dragon	Pressure		Telepathy	90	120	100	150	120	100	680	740.8	165			Spatial Pokemon				Undiscovered	
485	485	Heatran	Fire	Steel	Flash Fire		Flame Body	91	90	106	130	106	77	600	948	67			Lava Dome Pokemon	0.5	0.5		Undiscovered	
486	486	Regigigas	Normal		Slow Start			110	160	110	80	110	100	670	925.9	146			Colossal Pokemon				Undiscovered	
487	487	Giratina	Ghost	Dragon	Pressure		Telepathy	150	100	120	100	120	90	680	1653.5	177			Renegade Pokemon				Undiscovered	
488	488	Cresselia	Psychic		Levitate			120	70	120	75	130	85	600	188.7	59			Lunar Pokemon				Undiscovered	
489	489	Phione	Water		Hydration			80	80	80	80	80	80	480	6.8	16			Sea Drifter Pokemon				Water 1	Fairy
490	490	Manaphy	Water		Hydration			100	100	100	100	100	100	600	3.1	12			Seafaring Pokemon				Water 1	Fairy
491	491	Darkrai	Dark		Bad Dreams			70	90	90	135	90	125	600	111.3	59			Pitch-Black Pokemon				Undiscovered	
492	492	Shaymin	Grass		Natural Cure			100	100	100	100	100	100	600	4.6	8			Gratitude Pokemon				Undiscovered	
493	493	Arceus	Normal		Multitype			120	120	120	120	120	120	720	705.5	126			Alpha Pokemon				Undiscovered	
494	494	Victini	Psychic	Fire	Victory Star			100	100	100	100	100	100	600	8.8	16			Victory Pokemon	0	1		Undiscovered	
495	495	Snivy	Grass		Overgrow		Contrary	45	45	55	45	55	63	308	17.9	24			Grass Snake Pokemon	0.875	0.125		Field	Grass
496	496	Servine	Grass		Overgrow		Contrary	60	60	75	60	75	83	413	35.3	31			Grass Snake Pokemon	0.875	0.125	Snivy	Field	Grass
497	497	Serperior	Grass		Overgrow		Contrary	75	75	95	75	95	113	528	138.9	130			Regal Pokemon	0.875	0.125	Servine	Field	Grass
498	498	Tepig	Fire		Blaze		Thick Fat	65	63	45	45	45	45	308	21.8	20			Fire Pig Pokemon	0.875	0.125		Field	
499	499	Pignite	Fire	Fighting	Blaze		Thick Fat	90	93	55	70	55	55	418	122.4	39			Fire Pig Pokemon	0.875	0.125	Tepig	Field	
500	500	Emboar	Fire	Fighting	Blaze		Reckless	110	123	65	100	65	65	528	330.7	63			Mega Fire Pig Pokemon	0.875	0.125	Pignite	Field	
501	501	Oshawott	Water		Torrent		Shell Armor	55	55	45	63	45	45	308	13	20			Sea Otter Pokemon	0.875	0.125		Field	
502	502	Dewott	Water		Torrent		Shell Armor	75	75	60	83	60	60	413	54	31			Discipline Pokemon	0.875	0.125	Oshawott	Field	
503	503	Samurott	Water		Torrent		Shell Armor	95	100	85	108	70	70	528	208.6	59			Formidable Pokemon	0.875	0.125	Dewott	Field	
504	504	Patrat	Normal		Run Away	Keen Eye	Analytic	45	55	39	35	39	42	255	25.6	20			Scout Pokemon	0.5	0.5		Field	
505	505	Watchog	Normal		Illuminate	Keen Eye	Analytic	60	85	69	60	69	77	420	59.5	43			Lookout Pokemon	0.5	0.5	Patrat	Field	
506	506	Lillipup	Normal		Vital Spirit	Pickup	Run Away	45	60	45	25	45	55	275	9	16	'Because it doesn't yelp, it's extremely popular with Trainers who live in apartment buildings.'	'The long fur surrounding its face functions as radar, enabling it to probe the condition of its battle opponents.'	Puppy Pokemon	0.5	0.5		Field	
507	507	Herdier	Normal		Intimidate	Sand Rush	Scrappy	65	80	65	35	65	60	370	32.4	35	Its dense black fur grows continuously. The high cost of keeping its hard fur properly groomed makes this a troublesome Pokemon to train.	'This Pokemon obeys its master's orders faithfully. However, it refuses to listen to anything said by a person it doesn't respect.'	Loyal Dog Pokemon	0.5	0.5	Lillipup	Field	
508	508	Stoutland	Normal		Intimidate	Sand Rush	Scrappy	85	110	90	45	90	80	500	134.5	47	'Intelligent, good-natured, and valiant, it's a trustworthy partner on rescue teams.'	'With this wise Pokemon, there could be no concern that it would ever attack people. Some parents even trust it to babysit.'	Big-Hearted Pokemon	0.5	0.5	Herdier	Field	
509	509	Purrloin	Dark		Limber	Unburden	Prankster	41	50	37	50	37	66	281	22.3	16			Devious Pokemon	0.5	0.5		Field	
510	510	Liepard	Dark		Limber	Unburden	Prankster	64	88	50	88	50	106	446	82.7	43			Cruel Pokemon	0.5	0.5	Purrloin	Field	
511	511	Pansage	Grass		Gluttony		Overgrow	50	53	48	53	48	64	316	23.1	24			Grass Monkey Pokemon	0.875	0.125		Field	
512	512	Simisage	Grass		Gluttony		Overgrow	75	98	63	98	63	101	498	67.2	43			Thorn Monkey Pokemon	0.875	0.125	Pansage	Field	
513	513	Pansear	Fire		Gluttony		Blaze	50	53	48	53	48	64	316	24.3	24			High Temp Pokemon	0.875	0.125		Field	
514	514	Simisear	Fire		Gluttony		Blaze	75	98	63	98	63	101	498	61.7	39			Ember Pokemon	0.875	0.125	Pansear	Field	
515	515	Panpour	Water		Gluttony		Torrent	50	53	48	53	48	64	316	29.8	24			Spray Pokemon	0.875	0.125		Field	
516	516	Simipour	Water		Gluttony		Torrent	75	98	63	98	63	101	498	63.9	39			Geyser Pokemon	0.875	0.125	Panpour	Field	
517	517	Munna	Psychic		Forewarn	Synchronize	Telepathy	76	25	45	67	55	24	292	51.4	24			Dream Eater Pokemon	0.5	0.5		Field	
518	518	Musharna	Psychic		Forewarn	Synchronize	Telepathy	116	55	85	107	95	29	487	133.4	43			Drowsing Pokemon	0.5	0.5	Munna	Field	
519	519	Pidove	Normal	Flying	Big Pecks	Super Luck	Rivalry	50	55	50	36	30	43	264	4.6	12			Tiny Pigeon Pokemon	0.5	0.5		Flying	
